date,departement,type_intervention,duree_h,montant_ht
2024-09-15,"Bouches-du-Rhône",Dépannage,5.8,403.84
2025-06-12,"Haut-Rhin",Devis,1.6,120.22
2024-07-06,"Vosges",Dépannage,4.2,235.77
2025-10-06,"Val-d'Oise",Devis,2.5,175.05
2025-03-09,"Pyrénées-Orientales",Entretien,3.7,312.08
2024-12-09,"Charente",Urgence,6.4,365.63
2025-06-26,"Saône-et-Loire",Dépannage,4.4,290.45
2025-07-23,"Ille-et-Vilaine",Installation,3.3,681.72
2025-09-01,"Aisne",Urgence,3.0,281.45
2025-07-06,"Somme",Entretien,3.5,262.31
2025-05-10,"Alpes-Maritimes",Urgence,0.6,49.84
2025-07-02,"Isère",Devis,6.2,393.39
2024-07-05,"Gironde",Dépannage,1.1,100.20
2024-11-21,"Ain",Dépannage,1.7,126.00
2024-08-15,"Vosges",Urgence,6.1,427.55
2025-11-20,"Drôme",Devis,1.2,94.99
2025-01-12,"Val-de-Marne",Dépannage,3.1,266.15
2024-10-22,"Doubs",Devis,2.1,135.50
2024-09-16,"Alpes-de-Haute-Provence",Entretien,3.1,197.18
2025-03-26,"Essonne",Entretien,4.2,344.72
2024-08-26,"Finistère",Urgence,3.5,300.13
2025-08-08,"Morbihan",Urgence,1.2,67.56
2025-09-27,"Allier",Devis,6.0,449.59
2025-08-07,"Yvelines",Urgence,0.9,81.90
2025-04-28,"Seine-Saint-Denis",Entretien,5.2,334.02
2025-04-13,"Meurthe-et-Moselle",Devis,5.7,437.17
2025-10-21,"Bas-Rhin",Devis,5.0,288.26
2025-11-24,"Aisne",Entretien,3.2,292.92
2025-05-04,"Loiret",Dépannage,4.1,316.05
2025-07-09,"Vosges",Installation,3.7,729.38
2024-10-08,"Haute-Marne",Installation,1.3,507.68
2024-12-03,"Eure-et-Loir",Dépannage,4.2,239.28
2025-02-10,"Paris",Installation,4.6,718.19
2025-11-11,"Meurthe-et-Moselle",Dépannage,3.1,178.60
2025-12-13,"Paris",Entretien,0.5,32.11
2025-04-04,"Corse-du-Sud",Urgence,3.3,292.05
2024-07-25,"Finistère",Entretien,5.9,496.20
2025-11-05,"Deux-Sèvres",Devis,3.0,241.93
2024-12-18,"Drôme",Dépannage,2.9,219.94
2025-05-12,"Paris",Urgence,6.2,498.64
2024-11-17,"Var",Dépannage,5.7,445.83
2025-07-28,"Rhône",Dépannage,2.7,162.84
2025-05-12,"Deux-Sèvres",Devis,4.4,283.01
2025-07-24,"Alpes-de-Haute-Provence",Entretien,2.0,167.63
2025-08-13,"Sarthe",Devis,1.3,83.43
2025-07-04,"Saône-et-Loire",Urgence,4.8,271.17
2025-04-07,"Loire",Installation,1.5,523.75
2025-02-02,"Sarthe",Urgence,3.1,253.39
2025-05-03,"Hauts-de-Seine",Dépannage,5.3,332.31
2024-08-03,"Essonne",Installation,5.2,864.61
2024-07-09,"Finistère",Installation,4.9,763.11
2025-11-27,"Seine-Maritime",Dépannage,4.3,341.91
2024-08-06,"Seine-et-Marne",Entretien,5.7,350.84
2025-12-22,"Orne",Installation,3.9,719.83
2024-12-04,"Val-d'Oise",Entretien,0.7,50.45
2025-04-10,"Morbihan",Dépannage,0.8,49.23
2024-08-23,"Alpes-Maritimes",Devis,2.9,244.08
