adherent_id	code_postal	ville	statut
ADH-0001	20000	Ajaccio	Actif
ADH-0002	95068	Cergy	Actif
ADH-0003	35229	Rennes	Bienfaiteur
ADH-0004	50851	Saint-Lô	Actif
ADH-0005	95169	Cergy	Bienfaiteur
ADH-0006	42617	Saint-Étienne	Actif
ADH-0007	62126	Arras	Actif
ADH-0008	93289	Bobigny	Bienfaiteur
ADH-0009	86821	Poitiers	Actif
ADH-0010	11818	Carcassonne	Bienfaiteur
ADH-0011	79407	Niort	Étudiant
ADH-0012	77664	Melun	Actif
ADH-0013	23488	Guéret	Actif
ADH-0014	25869	Besançon	Bienfaiteur
ADH-0015	40449	Mont-de-Marsan	Actif
ADH-0016	82170	Montauban	Bienfaiteur
ADH-0017	42604	Saint-Étienne	Actif
ADH-0018	62848	Arras	Actif
ADH-0019	54053	Nancy	Actif
ADH-0020	72847	Le Mans	Actif
ADH-0021	62231	Arras	Actif
ADH-0022	83698	Toulon	Étudiant
ADH-0023	65183	Tarbes	Actif
ADH-0024	44004	Nantes	Actif
ADH-0025	35392	Rennes	Actif
ADH-0026	44788	Nantes	Actif
ADH-0027	67660	Strasbourg	Actif
ADH-0028	58671	Nevers	Actif
ADH-0029	70479	Vesoul	Actif
ADH-0030	59041	Lille	Étudiant
ADH-0031	84683	Avignon	Bienfaiteur
ADH-0032	71857	Mâcon	Actif
ADH-0033	25043	Besançon	Actif
ADH-0034	66807	Perpignan	Actif
ADH-0035	62243	Arras	Actif
ADH-0036	89392	Auxerre	Actif
ADH-0037	67517	Strasbourg	Bienfaiteur
ADH-0038	92610	Nanterre	Bienfaiteur
ADH-0039	53887	Laval	Étudiant
ADH-0040	31427	Toulouse	Actif
ADH-0041	31346	Toulouse	Actif
ADH-0042	93121	Bobigny	Étudiant
ADH-0043	39087	Lons-le-Saunier	Actif
ADH-0044	90537	Belfort	Étudiant
ADH-0045	49816	Angers	Étudiant
ADH-0046	56767	Vannes	Étudiant
ADH-0047	85557	La Roche-sur-Yon	Étudiant
ADH-0048	76492	Rouen	Actif
ADH-0049	35134	Rennes	Actif
ADH-0050	64565	Pau	Actif
ADH-0051	80196	Amiens	Actif
ADH-0052	38728	Grenoble	Bienfaiteur
ADH-0053	13864	Marseille	Étudiant
ADH-0054	51166	Châlons-en-Champagne	Actif
ADH-0055	47797	Agen	Bienfaiteur
ADH-0056	50285	Saint-Lô	Étudiant
ADH-0057	57490	Metz	Actif
ADH-0058	28717	Chartres	Actif
ADH-0059	10187	Troyes	Bienfaiteur
ADH-0060	79108	Niort	Actif
ADH-0061	84758	Avignon	Actif
ADH-0062	75532	Paris	Actif
ADH-0063	77554	Melun	Étudiant
ADH-0064	76803	Rouen	Bienfaiteur
ADH-0065	38454	Grenoble	Étudiant
ADH-0066	05117	Gap	Actif
ADH-0067	78397	Versailles	Actif
ADH-0068	39330	Lons-le-Saunier	Bienfaiteur
ADH-0069	77606	Melun	Actif
ADH-0070	36181	Châteauroux	Étudiant
ADH-0071	76479	Rouen	Bienfaiteur
ADH-0072	85102	La Roche-sur-Yon	Étudiant
ADH-0073	83826	Toulon	Actif
ADH-0074	75183	Paris	Actif
ADH-0075	69370	Lyon	Actif
ADH-0076	59046	Lille	Bienfaiteur
ADH-0077	83005	Toulon	Actif
ADH-0078	34417	Montpellier	Actif
ADH-0079	34199	Montpellier	Étudiant
ADH-0080	38315	Grenoble	Actif
ADH-0081	49045	Angers	Actif
ADH-0082	38151	Grenoble	Bienfaiteur
ADH-0083	29782	Quimper	Étudiant
ADH-0084	67074	Strasbourg	Actif
ADH-0085	75532	Paris	Étudiant
ADH-0086	04479	Digne-les-Bains	Actif
ADH-0087	15778	Aurillac	Actif
ADH-0088	67548	Strasbourg	Actif
ADH-0089	93814	Bobigny	Étudiant
ADH-0090	69646	Lyon	Étudiant
ADH-0091	52484	Chaumont	Étudiant
