departement,montant
50,1127
28,232
64,795
82,468
39,393
06,73
91,393
60,975
83,685
76,940
53,600
72,420
42,618
95,952
23,1017
38,529
76,215
80,1059
48,1224
80,555
56,955
07,928
76,258
62,1116
88,725
73,128
59,631
01,557
42,522
95,1073
89,1007
77,697
29,65
53,1207
61,138
78,242
22,717
55,1121
19,88
08,675
42,538
69,1109
17,1098
75,1234
81,928
25,186
46,187
14,1186
11,221
66,874
49,452
13,812
27,638
25,440
88,241
01,905
52,754
92,1179
08,956
53,1073
63,1135
22,145
11,644
94,630
04,516
38,742
89,857
87,223
11,679
59,738
35,957
91,916
78,354
74,1188
65,246
60,1243
78,1111
89,88
03,1091
78,546
62,128
77,791
75,455
28,186
73,659
2B,1061
94,1022
08,1016
52,952
51,57
01,1180
76,1165
91,570
53,866
74,819
01,910
60,635
72,607
64,423
43,561
93,786
92,516
95,965
72,908
72,264
95,468
49,61
62,217
02,208
07,697
51,983
91,318
54,618
17,1244
25,318
52,635
27,935
84,592
67,432
33,634
89,482
88,754
45,1238
78,725
02,462
13,1228
92,220
33,104
58,1138
22,719
81,832
77,194
72,382
74,962
59,455
79,685
30,371
68,358
75,618
22,1132
14,379
52,195
85,939
82,955
19,958
41,223
55,635
56,968
04,1184
62,1126
54,1177
53,89
44,743
65,1115
54,1170
83,999
69,861
50,1231
66,731
43,863
26,756
76,443
83,996
59,1067
60,933
93,1106
87,780
86,452
2A,249
46,544
77,209
28,497
84,976
73,865
21,676
91,444
29,1075
60,242
86,396
10,1162
63,105
50,902
64,489
36,936
14,556
85,402
35,184
05,596
93,766
61,77
81,330
86,1097
94,1022
95,131
68,389
06,1053
50,621
78,835
84,666
91,55
